basket_key,basket,k_ar_diff,rank_5%,vector_number,weights,spread_adf_p,spread_adf_stat,nobs,used_lag,a,b,b_negative,r2,ljungbox_p_lag20,n,half_life_minutes
KRW-BTC|KRW-DOGE|KRW-DOT|KRW-ETH,"['KRW-BTC', 'KRW-DOGE', 'KRW-DOT', 'KRW-ETH']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-DOGE': 1.2880428590697386, 'KRW-DOT': -1.0995562123395048, 'KRW-ETH': -0.8154702583156782}",7.836250274658142e-08,-6.144259590598784,384167,1,0.0017489067095419735,-0.0004171403275838929,True,0.00021153696848486003,0.0,384168,1661.6642763232799
KRW-BTC|KRW-AVAX|KRW-DOGE|KRW-XRP,"['KRW-BTC', 'KRW-AVAX', 'KRW-DOGE', 'KRW-XRP']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-AVAX': -2.939706723767662, 'KRW-DOGE': 4.054854883115359, 'KRW-XRP': -2.4044025889215885}",1.849994893386544e-07,-5.979814401945568,445727,1,-0.0027998927225298146,-0.00033866215443116533,True,0.00017177148506331008,0.0,445728,2046.7217003452645
KRW-BTC|KRW-LINK|KRW-SOL|KRW-XRP,"['KRW-BTC', 'KRW-LINK', 'KRW-SOL', 'KRW-XRP']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-LINK': 1.4426709629934575, 'KRW-SOL': -1.6122248123503522, 'KRW-XRP': -0.5813548287123077}",1.9469057969543747e-06,-5.5136395572250185,480050,1,0.0017409092645821937,-0.00020180312444891829,True,0.00010107918738400112,0.0,480051,3434.769320112282
KRW-BTC|KRW-ETH|KRW-LINK|KRW-SOL,"['KRW-BTC', 'KRW-ETH', 'KRW-LINK', 'KRW-SOL']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-ETH': -0.144934807287105, 'KRW-LINK': 0.5957100133146319, 'KRW-SOL': -0.875757566336304}",2.6464188367914406e-05,-4.961254233336133,480013,1,0.0018730077525248793,-0.00015943903047554788,True,8.010974622052469e-05,0.0,480014,4347.4121643398275
KRW-BTC|KRW-AVAX|KRW-DOGE|KRW-ETH,"['KRW-BTC', 'KRW-AVAX', 'KRW-DOGE', 'KRW-ETH']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-AVAX': -0.6963666367941299, 'KRW-DOGE': 0.6384568951584157, 'KRW-ETH': -0.24606769402252981}",3.811080256023184e-05,-4.88016583792985,445691,1,0.0023892366531020432,-0.00020844803291238256,True,0.00010589661038373777,0.0,445692,3325.275709611985
KRW-BTC|KRW-LINK|KRW-SOL,"['KRW-BTC', 'KRW-LINK', 'KRW-SOL']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-LINK': 1.2713681239670795, 'KRW-SOL': -1.807731685065299}",5.403932458115202e-05,-4.8014513264539636,480051,1,0.0014090314260535959,-0.00015263845404058724,True,7.650824816785029e-05,0.0,480052,4541.104565797255
KRW-BTC|KRW-AVAX|KRW-ETH|KRW-XRP,"['KRW-BTC', 'KRW-AVAX', 'KRW-ETH', 'KRW-XRP']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-AVAX': -0.3705443324866008, 'KRW-ETH': -0.34925441076614233, 'KRW-XRP': 0.7178847501599679}",0.0006030736018334448,-4.222654573948465,447046,1,0.0010579415748459054,-6.819952351622689e-05,True,4.485353521588298e-05,0.0,447047,10163.519403402035
KRW-BTC|KRW-AVAX|KRW-ETH|KRW-SOL,"['KRW-BTC', 'KRW-AVAX', 'KRW-ETH', 'KRW-SOL']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-AVAX': -0.19056925510152578, 'KRW-ETH': -0.25920647623018217, 'KRW-SOL': 0.15688540963583145}",0.029591467605385835,-3.0608248285078647,446904,1,0.0006809188740714697,-4.595155046805474e-05,True,2.625834066127819e-05,0.0,446905,15084.304522908697
KRW-BTC|KRW-AVAX|KRW-DOT|KRW-ETH,"['KRW-BTC', 'KRW-AVAX', 'KRW-DOT', 'KRW-ETH']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-AVAX': -0.3687120912890558, 'KRW-DOT': 0.2217259564540686, 'KRW-ETH': -0.09744042454866851}",0.03643152549575043,-2.98383817761674,344053,1,0.0010811216311313382,-7.017286980597194e-05,True,3.65040050916976e-05,0.0,344054,9877.708899130077
KRW-BTC|KRW-ETH|KRW-SOL,"['KRW-BTC', 'KRW-ETH', 'KRW-SOL']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-ETH': -0.10948828587840546, 'KRW-SOL': -0.26519802286470223}",0.04611234072567412,-2.8934724885039027,523629,1,0.000573157443357991,-4.140205051409265e-05,True,2.1995751010694953e-05,0.0,523630,16741.856307914222
KRW-BTC|KRW-AVAX|KRW-ETH,"['KRW-BTC', 'KRW-AVAX', 'KRW-ETH']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-AVAX': -0.1133796217188986, 'KRW-ETH': -0.20160898490796192}",0.046445210751973796,-2.8906577397334607,447047,1,0.0006101363312184574,-4.1929068550372936e-05,True,2.3458599370473898e-05,0.0,447048,16531.423294729502
KRW-BTC|KRW-DOGE|KRW-ETH|KRW-SOL,"['KRW-BTC', 'KRW-DOGE', 'KRW-ETH', 'KRW-SOL']",4,1,1,"{'KRW-BTC': 1.0, 'KRW-DOGE': -0.007069023913276623, 'KRW-ETH': -0.11624944596208676, 'KRW-SOL': -0.24688615812400055}",0.04844847110941824,-2.87406177565492,520730,1,0.0005675676474325227,-4.0751874254273735e-05,True,2.170103060772366e-05,0.0,520731,17008.96445240806
